ID,NO,都道府県コード又は市区町村コード,名称,名称(カナ),名称(英字),イベント通称,サブタイトル,概要,説明,サブイベント,イベント種類,詳細 URL,状態,対象となる産業,ステージ,開始日,終了日,開始時刻,終了時刻,日時備考,場所名称,集合場所,住所都道府県,住所市区町村,住所町名,住所丁目以下,建物名等,郵便番号,緯度,経度,主催団体,共催団体,その他関係団体,対象者,定員,料金(基本),料金(詳細),外国語対応,申込期限日,申込期限時刻,申込方法,アクセス方法,駐車場情報,駐輪場情報,連絡先名称,連絡先電話番号,内線,連絡先メールアドレス,備考,画像URL
1,F01,18207,丸岡城で遊ぼう,マルオカジョウデアソボウ,Let’s play at Maruoka castle.,城あそび,日本最古の城を攻略せよ,北陸唯一の現存十二天守で遊ぶ,"丸岡城は、戦国時代の天正4年（1576）に柴田勝家の甥、勝豊によって築かれました。天守（国指定重要文化財）は外観は二層、内部は三階の独立式望楼型天守です。石垣は""野づら積み""という古い方式で、すき間が多く粗雑な印象ながら排水がよく大雨に崩れる心配がないといわれています。また、とくに春は日本さくら名所100選にも認定された約400本のソメイヨシノが霞ヶ城の別名にふさわしく古城に美しさをそえます。",城めぐりスタンプラリー,文化・芸術,https://fupo.jp/article/shirokoyamaruko/,開催中,対象となる産業,ステージ,2021-04-03,2021-04-04,09:00,12:00,雨天決行,丸岡城,丸岡城駐車場,福井県,丸岡市,新横江,2丁目3-4,まるおか城,916-0042,35.94273,136.19881,城の会,お城好きの会,なにかの団体,こども,10,0,無料,en,2021-09-10,10:00,メール,駅から徒歩15分,100台,10台,まるおかのかい,00-0000-0000,0,maruoka@example.com,架空のイベントであり実在しません,https://cheerup-mihama.jp/core/wp-content/uploads/2021/07/4c9fe76e88295bca3844373094db9bca-e1625121309878.png
2,F02,18207,美しい浜アイデアソンを開催します！ | Cheerup! Mihama,ウツクシイハマ アイデアソン,,,,"陶芸村で手軽にバーベキューを楽しもう！バーベキューセットも食材も用意してあるから、手ぶらでOK！陶芸村ならではの越前焼陶板で焼いたお肉は、パリっと香ばしくジューシーに焼き上がります。
※申し込み：ご利用3日前までに要予約","陶芸村で手軽にバーベキューを楽しもう！バーベキューセットも食材も用意してあるから、手ぶらでOK！陶芸村ならではの越前焼陶板で焼いたお肉は、パリっと香ばしくジューシーに焼き上がります。
※申し込み：ご利用3日前までに要予約",,文化・芸術,https://cheerup-mihama.jp/mission/m002/,中止,,,2021-07-22,2021-07-22,09:00,12:00,,,鯖江市公民館,福井県,鯖江市,新横江,2丁目3-4,,,35.94273,136.19881,,,,こども,10,100,こどもは無料,,2021-09-10,,,,,,,,,,,https://raw.githubusercontent.com/halsk/profile/master/images/profile_image3.jpg
3,F03,18207,DIY都市を作ろう Code for Japan 講演会,ディーアイワイトシヲツクロウ,,,,"東京ドーム2個分がすっぽり入る越前陶芸公園にモニュメントを巡るコースがオープン！サクラ満開の公園でご家族、お友達でお楽しみください。
コース：8ホール","東京ドーム2個分がすっぽり入る越前陶芸公園にモニュメントを巡るコースがオープン！サクラ満開の公園でご家族、お友達でお楽しみください。
コース：8ホール",,セミナー,https://summer.walkerplus.com/odekake/list/ar0518/sg0112sg0115/,,,,2021-06-25,2021-06-25,09:00,12:00,,,鯖江市公民館,福井県,鯖江市,新横江,2丁目3-4,,,35.94273,136.19881,,,,学生,10,0,,,2021-09-10,,,,,,,,,,,
4,F04,18207,【福井県陶芸館】越前陶芸村BBQガーデン　福井県観光情報,エチゼントウゲンムラバーベキュー,,,,道の駅」を３駅以上まわった方に抽選で豪華賞品が当たる『第６回ふくい「道の駅」ぐるっとスタンプラリー』を開催します。,"福井県内の「道の駅」を３駅以上まわった方に抽選で豪華賞品が当たる『第６回ふくい「道の駅」ぐるっとスタンプラリー』を開催します。

今回は、大野市の道の駅「越前おおの荒島の郷」のオープン、ならびに「道の駅の日」に合わせて、令和３年４月２２日（木）から始まります。

スタンプ台紙には、各駅のグルメ情報や一押し商品など「道の駅」情報も満載です。

スタンプ台紙をもって、県内の「道の駅」を巡ってみませんか。

 
★第６回『ふくい「道の駅」ぐるっとスタンプラリー』
○主催
　福井県「道の駅」連絡会

○実施期間
　令和３年４月２２日（木）～令和４年２月２８日（月）

○内容
　・福井県内の「道の駅」で飲食メニュー注文・商品購入でスタンプゲット
　・三ツ星若狭牛や福井の地酒など抽選で総勢１１４名の方に豪華賞品があたります
　・スタンプは３個以上で応募可能
　・スタンプを多く集めると、応募賞品がランクアップ！
　　さらに、抽選に外れても、少ないスタンプ数の抽選対象となるため、当選確率がアップ。
　・スタンプ台紙裏面には、各「道の駅」の施設や一押し商品を紹介した道の駅ガイドを掲載

○スタンプ台紙の配布
　県内の「道の駅」で令和３年４月２２日（木）から配布開始
○応募方法
　「道の駅」でスタンプ台紙の確認と引き換えに応募券をお渡しします。その場でご応募いただけます。

○お問い合わせ
　最寄りの「道の駅」または福井県「道の駅」連絡会事務局（福井県道路保全課内）（0776-20-0514）",,文化・芸術,https://summer.walkerplus.com/odekake/list/ar0518/sg0112sg0115/,,,,2021-07-22,2021-07-22,09:00,12:00,,,鯖江市公民館,福井県,鯖江市,新横江,2丁目3-4,,,35.94273,136.19881,,,,社会人,10,0,,,2021-09-10,,,,,,,,,,,https://www.fuku-e.com/files/event/2021/2/picture1sel_h8ef8vhgr3j3nd2cgohuao9ch5_20210218104843.jpg
5,F05,18207,【福井県陶芸館】陶芸村グランドゴルフ　オープン　福井県観光情報,トウゲイムラグランドゴルフ,,,,体力に自信がなくても気軽にサイクリングに挑戦できる「電動アシスト付きロードバイク」を体験価格で利用できます,"体力に自信がなくても気軽にサイクリングに挑戦できる「電動アシスト付きロードバイク」を体験価格で利用できます。
　自転車は約220kmアシスト走行可能です。ご家族、ご友人と周遊観光を楽しんでみませんか？
　アンケートに答えてくれた方全員に永平寺町産のお米3合をプレゼントします。
詳細は「まちづくり㈱ZENコネクト」までお気軽にお問い合わせください。

【開催日】
2021年4月29日(祝)～9月26日(日)

【開催時間】
9:00~17:00

【場所】
レンガ館（吉田郡永平寺町高橋7-31-1 ※えちぜん鉄道「永平寺口駅」横）

【料金】
1人1000円(税・保険料込み)

【予約】
2営業日前の17:00までに要予約

【人数】
最小催行人数3名～1日最大17名

【応募条件】
身長155㎝以上・小学5年生以上・小学生は保護者同伴

【注意事項】
雨天中止・参加は1人1回まで

【お問い合わせ先】
まちづくり㈱ZENコネクト(平日9:00~17:00)
TEL/FAX: 0776-63-3900
E-mail：machidukuri@cap.ocn.ne.jp
HP: https://e-machidukuri.co.jp/",,文化・芸術,https://summer.walkerplus.com/odekake/list/ar0518/sg0112sg0115/,,,,2021-06-25,2021-06-25,09:00,12:00,,,西山公園,福井県,鯖江市,新横江,2丁目3-4,,,35.94273,136.19881,,,,社会人,10,0,,,2021-09-10,,,,,,,,,,,https://www.fuku-e.com/files/event/2021/5/picture1sel_bajhhnaep7431n281mqe9j4hb1_20210506090925.jpg
6,F06,18207,丸岡城で遊ぼう,マルオカジョウデアソボウ,Let’s play at Maruoka castle.,城あそび,日本最古の城を攻略せよ,北陸唯一の現存十二天守で遊ぶ,"丸岡城は、戦国時代の天正4年（1576）に柴田勝家の甥、勝豊によって築かれました。天守（国指定重要文化財）は外観は二層、内部は三階の独立式望楼型天守です。石垣は""野づら積み""という古い方式で、すき間が多く粗雑な印象ながら排水がよく大雨に崩れる心配がないといわれています。また、とくに春は日本さくら名所100選にも認定された約400本のソメイヨシノが霞ヶ城の別名にふさわしく古城に美しさをそえます。",城めぐりスタンプラリー,セミナー,https://fupo.jp/article/shirokoyamaruko/,開催中,対象となる産業,ステージ,2021-04-03,2021-04-04,09:00,12:00,雨天決行,丸岡城,丸岡城駐車場,福井県,丸岡市,新横江,2丁目3-4,まるおか城,916-0042,35.94273,136.19881,城の会,お城好きの会,,こども,10,0,無料,en,2021-09-10,10:00,メール,駅から徒歩15分,100台,10台,まるおかのかい,00-0000-0000,,maruoka@example.com,架空のイベントであり実在しません,https://cheerup-mihama.jp/core/wp-content/uploads/2021/07/4c9fe76e88295bca3844373094db9bca-e1625121309878.png
7,F07,18207,美しい浜アイデアソンを開催します！ | Cheerup! Mihama,ウツクシイハマ アイデアソン,,,,"陶芸村で手軽にバーベキューを楽しもう！バーベキューセットも食材も用意してあるから、手ぶらでOK！陶芸村ならではの越前焼陶板で焼いたお肉は、パリっと香ばしくジューシーに焼き上がります。
※申し込み：ご利用3日前までに要予約","陶芸村で手軽にバーベキューを楽しもう！バーベキューセットも食材も用意してあるから、手ぶらでOK！陶芸村ならではの越前焼陶板で焼いたお肉は、パリっと香ばしくジューシーに焼き上がります。
※申し込み：ご利用3日前までに要予約",,セミナー,https://cheerup-mihama.jp/mission/m002/,中止,,,2021-07-22,2021-07-22,09:00,12:00,,,鯖江市公民館,福井県,鯖江市,新横江,2丁目3-4,,,35.94273,136.19881,,,,こども,10,100,こどもは無料,,2021-09-10,,,,,,,,,,,https://raw.githubusercontent.com/halsk/profile/master/images/profile_image3.jpg
8,F08,18207,DIY都市を作ろう Code for Japan 講演会,ディーアイワイトシヲツクロウ,,,,"東京ドーム2個分がすっぽり入る越前陶芸公園にモニュメントを巡るコースがオープン！サクラ満開の公園でご家族、お友達でお楽しみください。
コース：8ホール","東京ドーム2個分がすっぽり入る越前陶芸公園にモニュメントを巡るコースがオープン！サクラ満開の公園でご家族、お友達でお楽しみください。
コース：8ホール",,セミナー,https://summer.walkerplus.com/odekake/list/ar0518/sg0112sg0115/,,,,2021-06-25,2021-06-25,09:00,12:00,,,鯖江市公民館,福井県,鯖江市,新横江,2丁目3-4,,,35.94273,136.19881,,,,学生,10,0,,,2021-09-10,,,,,,,,,,,https://www.fuku-e.com/files/event/2021/2/picture1sel_h8ef8vhgr3j3nd2cgohuao9ch5_20210218105206.jpg
9,F09,18207,【福井県陶芸館】越前陶芸村BBQガーデン　福井県観光情報,エチゼントウゲンムラバーベキュー,,,,道の駅」を３駅以上まわった方に抽選で豪華賞品が当たる『第６回ふくい「道の駅」ぐるっとスタンプラリー』を開催します。,"福井県内の「道の駅」を３駅以上まわった方に抽選で豪華賞品が当たる『第６回ふくい「道の駅」ぐるっとスタンプラリー』を開催します。

今回は、大野市の道の駅「越前おおの荒島の郷」のオープン、ならびに「道の駅の日」に合わせて、令和３年４月２２日（木）から始まります。

スタンプ台紙には、各駅のグルメ情報や一押し商品など「道の駅」情報も満載です。

スタンプ台紙をもって、県内の「道の駅」を巡ってみませんか。

 
★第６回『ふくい「道の駅」ぐるっとスタンプラリー』
○主催
　福井県「道の駅」連絡会

○実施期間
　令和３年４月２２日（木）～令和４年２月２８日（月）

○内容
　・福井県内の「道の駅」で飲食メニュー注文・商品購入でスタンプゲット
　・三ツ星若狭牛や福井の地酒など抽選で総勢１１４名の方に豪華賞品があたります
　・スタンプは３個以上で応募可能
　・スタンプを多く集めると、応募賞品がランクアップ！
　　さらに、抽選に外れても、少ないスタンプ数の抽選対象となるため、当選確率がアップ。
　・スタンプ台紙裏面には、各「道の駅」の施設や一押し商品を紹介した道の駅ガイドを掲載

○スタンプ台紙の配布
　県内の「道の駅」で令和３年４月２２日（木）から配布開始
○応募方法
　「道の駅」でスタンプ台紙の確認と引き換えに応募券をお渡しします。その場でご応募いただけます。

○お問い合わせ
　最寄りの「道の駅」または福井県「道の駅」連絡会事務局（福井県道路保全課内）（0776-20-0514）",,セミナー,https://summer.walkerplus.com/odekake/list/ar0518/sg0112sg0115/,,,,2021-07-22,2021-07-22,09:00,12:00,,,鯖江市公民館,福井県,鯖江市,新横江,2丁目3-4,,,35.94273,136.19881,,,,社会人,10,0,,,2021-09-10,,,,,,,,,,,https://www.fuku-e.com/files/event/2021/2/picture1sel_h8ef8vhgr3j3nd2cgohuao9ch5_20210218104843.jpg
10,F10,18207,【福井県陶芸館】陶芸村グランドゴルフ　オープン　福井県観光情報,トウゲイムラグランドゴルフ,,,,体力に自信がなくても気軽にサイクリングに挑戦できる「電動アシスト付きロードバイク」を体験価格で利用できます,"体力に自信がなくても気軽にサイクリングに挑戦できる「電動アシスト付きロードバイク」を体験価格で利用できます。
　自転車は約220kmアシスト走行可能です。ご家族、ご友人と周遊観光を楽しんでみませんか？
　アンケートに答えてくれた方全員に永平寺町産のお米3合をプレゼントします。
詳細は「まちづくり㈱ZENコネクト」までお気軽にお問い合わせください。

【開催日】
2021年4月29日(祝)～9月26日(日)

【開催時間】
9:00~17:00

【場所】
レンガ館（吉田郡永平寺町高橋7-31-1 ※えちぜん鉄道「永平寺口駅」横）

【料金】
1人1000円(税・保険料込み)

【予約】
2営業日前の17:00までに要予約

【人数】
最小催行人数3名～1日最大17名

【応募条件】
身長155㎝以上・小学5年生以上・小学生は保護者同伴

【注意事項】
雨天中止・参加は1人1回まで

【お問い合わせ先】
まちづくり㈱ZENコネクト(平日9:00~17:00)
TEL/FAX: 0776-63-3900
E-mail：machidukuri@cap.ocn.ne.jp
HP: https://e-machidukuri.co.jp/",,セミナー,https://summer.walkerplus.com/odekake/list/ar0518/sg0112sg0115/,,,,2021-06-25,2021-06-25,09:00,12:00,,,西山公園,福井県,鯖江市,新横江,2丁目3-4,,,35.94273,136.19881,,,,社会人,10,0,,,2021-09-10,,,,,,,,,,,https://www.fuku-e.com/files/event/2021/5/picture1sel_bajhhnaep7431n281mqe9j4hb1_20210506090925.jpg
